group,common_name,scientific_name,lat,lon,observed_on,coords_obscured,obs_url,photo_url
Amphibia,Fea's Flying Tree Frog,Zhangixalus feae,22.32705,103.83359,2016-06-24,no,http://www.inaturalist.org/observations/3567772,https://static.inaturalist.org/photos/4142362/medium.jpg
Amphibia,Chapa Torrent Frog,Odorrana chapaensis,22.30074,103.79665,2016-06-23,yes,http://www.inaturalist.org/observations/3567783,https://static.inaturalist.org/photos/4142379/medium.jpg
Mollusca,African Giant Snail,Lissachatina fulica,22.33632,103.84404,2017-11-08,no,https://www.inaturalist.org/observations/8729922,https://static.inaturalist.org/photos/11712779/medium.jpg
Plantae,mock strawberry,Potentilla indica,22.33717,103.84804,2017-11-21,no,https://www.inaturalist.org/observations/8884929,https://static.inaturalist.org/photos/11950107/medium.jpg
Arachnida,Joro Spider,Trichonephila clavata,22.33658,103.84749,2017-11-21,no,https://www.inaturalist.org/observations/8886378,https://static.inaturalist.org/photos/11960212/medium.jpg
Plantae,tropical soda-apple,Solanum viarum,22.32721,103.85928,2017-11-21,no,https://www.inaturalist.org/observations/8890691,https://static.inaturalist.org/photos/11960294/medium.jpg
Reptilia,Yunnan Beauty Snake,Elaphe taeniura yunnanensis,22.33232,103.84326,2018-05-07,no,https://www.inaturalist.org/observations/12283783,https://static.inaturalist.org/photos/17667832/medium.jpeg
Plantae,Peach,Prunus persica,22.35130,103.88574,2018-01-25,no,https://www.inaturalist.org/observations/13287625,https://static.inaturalist.org/photos/19455857/medium.jpeg
Insecta,Wandering Glider,Pantala flavescens,22.33467,103.84077,2018-09-05,no,https://www.inaturalist.org/observations/16226116,https://static.inaturalist.org/photos/24351208/medium.jpg
Insecta,,Neolucanus giganteus,22.39989,103.83685,2018-09-25,no,https://www.inaturalist.org/observations/16937023,https://static.inaturalist.org/photos/25595633/medium.jpg
Aves,Domestic Chicken,Gallus gallus domesticus,22.32818,103.83508,2016-11-17,no,https://www.inaturalist.org/observations/17704165,https://inaturalist-open-data.s3.amazonaws.com/photos/26986215/medium.jpg
Plantae,Cup-and-saucer vine,Cobaea scandens,22.33482,103.84427,2018-11-26,no,https://www.inaturalist.org/observations/18640434,https://static.inaturalist.org/photos/28533175/medium.jpg
Plantae,Cup-and-saucer vine,Cobaea scandens,22.33485,103.84427,2018-11-26,no,https://www.inaturalist.org/observations/18640469,https://static.inaturalist.org/photos/28533210/medium.jpg
