group,common_name,scientific_name,observations,sep_observations,peak_months,coords_obscured,example_photo,example_obs
Plantae,tropical soda-apple,Solanum viarum,39,0,"Jan, Mar, Nov",0,https://static.inaturalist.org/photos/11960294/medium.jpg,https://www.inaturalist.org/observations/8890691
Plantae,pink knotweed,Persicaria capitata,36,0,"Jan, Mar, Oct",0,https://inaturalist-open-data.s3.amazonaws.com/photos/30299481/medium.jpg,https://www.inaturalist.org/observations/19672379
Arachnida,Joro Spider,Trichonephila clavata,31,2,"Nov, Oct, Dec",0,https://static.inaturalist.org/photos/11960212/medium.jpg,https://www.inaturalist.org/observations/8886378
Insecta,,Stichophthalma howqua,31,0,"Jun, May, Jul",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41226467/medium.jpg,https://www.inaturalist.org/observations/26544159
Insecta,Great Mormon,Papilio agenor,28,2,"Nov, Oct, Dec",0,https://inaturalist-open-data.s3.amazonaws.com/photos/48714670/medium.jpg,https://www.inaturalist.org/observations/31145503
Insecta,Tropical Swallowtail Moth,Lyssa zampa,27,0,"Dec, Jul, Jun",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41226368/medium.jpg,https://www.inaturalist.org/observations/26544087
Insecta,Crimson-tailed Marsh Hawk,Orthetrum pruinosum,23,0,"May, Jul, Jun",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41139266/medium.jpg,https://www.inaturalist.org/observations/26490774
Aves,Plumbeous Water Redstart,Phoenicurus fuliginosus,17,2,"Mar, Apr, May",0,https://static.inaturalist.org/photos/71073719/medium.jpg,https://www.inaturalist.org/observations/44833707
Aves,Barn Swallow,Hirundo rustica,17,1,"Apr, Mar, May",0,https://static.inaturalist.org/photos/270146130/medium.jpg,https://www.inaturalist.org/observations/156239647
Aves,Eurasian Tree Sparrow,Passer montanus,16,0,"Jan, Mar, Aug",0,https://inaturalist-open-data.s3.amazonaws.com/photos/59121441/medium.jpeg,https://www.inaturalist.org/observations/37309108
Insecta,Tropical Fritillary,Argynnis hyperbius,14,0,"Jun, Aug, May",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41139976/medium.jpg,https://www.inaturalist.org/observations/26491138
Insecta,Paris Peacock Swallowtail,Papilio paris,14,1,"Jun, Mar, Sep",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41783331/medium.jpg,https://www.inaturalist.org/observations/26891867
Insecta,Great Eggfly,Hypolimnas bolina,13,1,"Jul, Aug, Jun",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41139039/medium.jpg,https://www.inaturalist.org/observations/26490691
Insecta,Spangle Swallowtail,Papilio protenor,13,0,"May, Apr, Oct",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41213556/medium.jpg,https://www.inaturalist.org/observations/26536346
Insecta,Red-based Jezebel,Delias pasithoe,13,3,"Sep, Oct, Jun",0,https://static.inaturalist.org/photos/51305759/medium.jpeg,https://www.inaturalist.org/observations/32699868
Aves,Black-throated Tit,Aegithalos concinnus,13,0,"Apr, Mar, Jan",0,https://inaturalist-open-data.s3.amazonaws.com/photos/67780269/medium.jpg,https://www.inaturalist.org/observations/42681437
Insecta,Yellow Coster,Telchinia issoria,13,2,"Apr, Aug, May",0,https://static.inaturalist.org/photos/73373921/medium.jpg,https://www.inaturalist.org/observations/46264960
Plantae,castor bean,Ricinus communis,12,1,"Oct, Jan, Apr",0,https://inaturalist-open-data.s3.amazonaws.com/photos/30299492/medium.jpg,https://www.inaturalist.org/observations/19672383
Plantae,bluemink,Ageratum houstonianum,12,0,"Mar, Jan, Oct",0,https://inaturalist-open-data.s3.amazonaws.com/photos/30299518/medium.jpg,https://www.inaturalist.org/observations/19672414
Plantae,Bristletips,Oxyspora paniculata,12,0,"Oct, Nov, Jan",0,https://inaturalist-open-data.s3.amazonaws.com/photos/30325533/medium.jpg,https://www.inaturalist.org/observations/19687845
Insecta,Scarlet Skimmer,Crocothemis servilia,12,0,"Jun, Aug, Apr",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41226592/medium.jpg,https://www.inaturalist.org/observations/26544255
Aves,Grey Bushchat,Saxicola ferreus,12,4,"Sep, Feb, May",0,https://inaturalist-open-data.s3.amazonaws.com/photos/100630835/medium.jpg,https://www.inaturalist.org/observations/62770121
Reptilia,Yunnan Beauty Snake,Elaphe taeniura yunnanensis,11,1,"Apr, May, Nov",0,https://static.inaturalist.org/photos/17667832/medium.jpeg,https://www.inaturalist.org/observations/12283783
Insecta,Asian Widow,Palpopleura sexmaculata,11,0,"Jun, May, Aug",0,https://inaturalist-open-data.s3.amazonaws.com/photos/41139277/medium.jpg,https://www.inaturalist.org/observations/26490779
Aves,White Wagtail,Motacilla alba,11,2,"Jan, Sep, Dec",0,https://inaturalist-open-data.s3.amazonaws.com/photos/248059768/medium.jpeg,https://www.inaturalist.org/observations/144522695
Insecta,Asian Honey Bee,Apis cerana,10,1,"Mar, Jan, Apr",0,https://inaturalist-open-data.s3.amazonaws.com/photos/350307917/medium.jpeg,https://www.inaturalist.org/observations/198719790
Insecta,Indian Cabbage White,Pieris canidia,9,0,"Nov, Jun, Mar",0,https://inaturalist-open-data.s3.amazonaws.com/photos/59121454/medium.jpeg,https://www.inaturalist.org/observations/37309109
Plantae,Cannabis,Cannabis sativa,9,0,"Aug, Jan, Feb",0,https://inaturalist-open-data.s3.amazonaws.com/photos/64955076/medium.jpg,https://www.inaturalist.org/observations/40965861
Insecta,Common Rose Swallowtail,Pachliopta aristolochiae,9,0,"May, Jul, Apr",0,https://inaturalist-open-data.s3.amazonaws.com/photos/110276578/medium.jpeg,https://www.inaturalist.org/observations/68149238
